eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
i,nulla nunc,interdum mauris non,pulvinar lobortis est phasellus sit amet,o,ultrices posuere cubilia,USD,132.91,934.84,614.76,ornare imperdiet sapien,3.67,852.39,933.03,593.2,quam suspendisse,habitasse platea dictumst,2.12,o,dis,amet lobortis sapien,ultrices phasellus id sapien in sapien iaculis,s,nulla tellus in,kg,83.28,130.69,604.22,io,os
r,ultrices,amet justo morbi,tellus semper interdum mauris ullamcorper purus,i,tempus sit,m,562.44,556.69,148.17,at lorem integer,1.9,481.72,331.13,508.19,pretium,nulla nunc,5.0,o,odio odio,mauris ullamcorper purus,curabitur in libero ut massa volutpat convallis,s,integer a nibh,kg,359.38,165.82,802.22,ro,is
s,quis libero,enim leo,est congue elementum in hac habitasse platea,o,magna ac consequat,m,981.62,478.22,747.09,eleifend donec ut dolor,9.56,609.68,28.02,792.97,blandit,aenean lectus pellentesque eget,7.68,r,amet cursus,sit amet diam,quis tortor id nulla ultrices aliquet maecenas,i,nam ultrices libero,kg,79.39,969.83,400.47,sr,oi
p,turpis eget,orci nullam,ut odio cras mi pede malesuada,o,nunc viverra,%,792.85,800.7,857.65,semper rutrum nulla,2.63,198.92,877.56,109.52,mauris,vulputate ut ultrices vel,1.96,p,dui vel,ut dolor,at vulputate vitae nisl aenean lectus pellentesque,i,vel est donec,kg,777.55,794.97,904.96,pp,oi
o,velit,velit donec diam,ut odio cras mi pede malesuada in,o,tempor convallis,kg,50.1,760.44,323.05,aliquet at feugiat,4.09,830.87,532.89,993.77,hac habitasse,lacinia sapien quis libero,2.17,r,vivamus vestibulum,mauris sit,hendrerit at vulputate vitae nisl aenean lectus,i,at nunc,m,980.9,107.97,256.59,or,oi
i,nec nisi,eu interdum,purus sit amet nulla quisque,s,dui proin,%,921.42,189.42,598.43,lacus morbi sem,7.68,282.04,308.55,287.62,sed sagittis,nisi at,2.58,o,quis,vestibulum ante,aenean auctor gravida sem praesent id massa,p,donec vitae,kg,336.64,176.5,623.33,io,sp
i,duis,ut suscipit a,proin eu mi nulla ac,o,primis in faucibus,USD,583.16,771.45,441.76,rutrum neque aenean auctor,5.34,782.7,3.12,959.11,convallis nulla,sit amet,1.76,i,lobortis ligula,justo in blandit,nunc vestibulum ante ipsum primis in faucibus,p,dui proin,%,949.43,720.89,771.99,ii,op
s,vitae,dictumst maecenas ut,nibh fusce lacus purus aliquet at feugiat,r,ultrices aliquet,m,158.6,930.45,286.89,dolor vel est donec,4.4,262.65,349.99,468.74,pede ullamcorper,porttitor id,2.77,p,porta,mauris non,odio curabitur convallis duis consequat dui nec,s,ornare consequat,USD,402.04,403.94,507.21,sp,rs
r,ut,maecenas tristique,mus etiam vel augue vestibulum rutrum rutrum,s,mi nulla ac,kg,359.06,857.68,258.58,mauris lacinia sapien quis,7.92,577.72,263.61,528.9,rutrum nulla,massa quis augue luctus,3.67,p,neque libero,morbi non,pede venenatis non sodales sed tincidunt eu,o,non mattis pulvinar,USD,77.4,988.82,119.39,rp,so
s,semper est,ornare consequat lectus,dis parturient montes nascetur ridiculus mus vivamus,o,interdum in,kg,518.55,704.67,650.2,donec odio justo,1.83,575.65,422.07,206.5,purus,nulla nunc purus phasellus,9.13,s,quam,id pretium iaculis,quam turpis adipiscing lorem vitae mattis nibh,i,aenean fermentum,m,34.29,923.51,272.2,ss,oi
