eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
o,neque sapien,viverra pede,eu est congue elementum in hac,o,neque libero,kg,219.88,594.2,307.06,rhoncus dui vel sem,1.24,853.17,516.79,432.52,rutrum,venenatis turpis enim blandit,4.07,o,ultrices,dui proin leo,turpis sed ante vivamus tortor duis mattis,i,vestibulum aliquet,kg,13.73,340.79,660.81,oo,oi
p,at feugiat,venenatis turpis,libero quis orci nullam molestie,o,justo maecenas,USD,264.87,690.97,492.03,quam sollicitudin vitae consectetuer,0.21,289.27,543.18,876.23,turpis adipiscing,aliquet pulvinar sed nisl,5.76,s,tristique tortor,amet eros,vestibulum ante ipsum primis in faucibus orci,p,at velit vivamus,%,160.75,660.62,184.84,ps,op
o,dis parturient,nam ultrices libero,non mi integer ac neque,p,leo maecenas,%,424.65,990.9,366.14,aliquet massa id,1.02,743.14,549.91,130.51,erat volutpat,nunc commodo placerat praesent,7.28,o,sit,cum sociis natoque,sed magna at nunc commodo placerat praesent,i,nec condimentum neque,USD,256.0,418.21,644.01,oo,pi
s,orci luctus,ac diam,odio cras mi pede malesuada in imperdiet,p,magnis dis parturient,m,945.72,377.55,68.8,convallis tortor risus,7.26,11.44,547.25,471.89,arcu libero,tortor risus,4.93,i,amet lobortis,eu nibh,maecenas tincidunt lacus at velit vivamus vel,o,sit amet turpis,m,48.53,88.14,931.94,si,po
p,a pede,in blandit ultrices,ultrices posuere cubilia curae donec pharetra magna,o,nulla nisl,USD,422.52,77.79,814.27,duis mattis egestas metus,0.8,811.6,876.34,127.37,magnis,in lacus curabitur at,3.65,r,odio elementum,id luctus nec,duis aliquam convallis nunc proin at turpis,i,nulla quisque arcu,%,95.56,570.68,176.48,pr,oi
o,leo odio,sapien in sapien,amet eros suspendisse accumsan tortor quis turpis,o,varius nulla facilisi,USD,443.98,19.61,861.16,nam dui proin,9.6,749.41,7.14,934.14,lacus morbi,mi sit,5.44,p,sollicitudin vitae,natoque penatibus et,congue eget semper rutrum nulla nunc purus,p,felis eu sapien,%,97.38,324.01,823.22,op,op
i,at,et commodo vulputate,pulvinar nulla pede ullamcorper augue a suscipit,o,faucibus orci,%,934.26,154.28,473.28,quam sapien varius ut,1.46,828.93,87.5,813.42,lorem,vestibulum ante ipsum primis,9.67,r,ut,sapien iaculis congue,dignissim vestibulum vestibulum ante ipsum primis in,i,eget eros,kg,247.33,885.65,622.07,ir,oi
o,posuere felis,et magnis,in sapien iaculis congue vivamus,o,sociis natoque,kg,929.39,310.72,711.49,etiam justo etiam pretium,0.96,936.34,290.01,925.61,in tempor,amet turpis,8.54,i,leo maecenas,curae donec pharetra,nulla eget eros elementum pellentesque quisque porta,o,sapien dignissim,m,71.29,95.66,428.92,oi,oo
s,non,sem praesent,nulla ultrices aliquet maecenas leo,r,erat curabitur gravida,USD,528.33,79.21,930.74,sodales sed tincidunt,5.03,246.24,778.47,179.48,nisl,quis augue luctus,1.98,i,dignissim vestibulum,velit vivamus vel,nullam orci pede venenatis non sodales sed,o,morbi a,kg,72.16,721.95,406.65,si,ro
s,ante ipsum,diam erat fermentum,vel sem sed sagittis nam congue risus,r,interdum venenatis turpis,kg,642.08,322.65,205.92,massa tempor convallis,3.31,102.34,397.1,979.27,pulvinar sed,sollicitudin vitae consectetuer,9.17,p,ac enim,commodo vulputate,nisl duis ac nibh fusce lacus purus,r,luctus cum sociis,USD,663.2,373.3,609.82,sp,rr
o,quam,ornare consequat lectus,et ultrices posuere cubilia curae mauris,o,platea dictumst,kg,355.44,943.85,109.69,nulla ac enim in,7.61,594.67,649.99,766.48,nunc,ac est,0.57,i,sit,lacinia aenean,et ultrices posuere cubilia curae duis faucibus,i,aliquam erat,m,729.94,293.28,332.5,oi,oi
