eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
r,lorem,rhoncus aliquet,elementum ligula vehicula consequat morbi a ipsum,s,odio curabitur,USD,193.65,986.25,492.95,nulla sed accumsan felis,1.57,962.8,253.51,222.03,venenatis turpis,ut massa quis,4.79,o,molestie sed,aliquam augue,elit proin risus praesent lectus vestibulum quam,o,risus dapibus,%,481.71,34.14,446.66,ro,so
o,curae nulla,neque aenean auctor,tortor duis mattis egestas metus aenean,r,ligula vehicula,m,616.09,748.96,440.87,quam sollicitudin vitae consectetuer,4.31,802.35,834.35,783.22,accumsan,porta volutpat quam pede,3.38,p,nascetur,ipsum integer a,sit amet nunc viverra dapibus nulla suscipit,i,fusce consequat nulla,%,833.02,486.55,989.58,op,ri
o,justo in,pellentesque volutpat dui,in blandit ultrices enim lorem,i,congue elementum,USD,857.14,721.95,182.4,nulla sed accumsan felis,9.47,785.56,938.26,407.7,amet,quisque porta volutpat erat,5.88,s,justo,lacinia aenean sit,mauris non ligula pellentesque ultrices phasellus id,r,morbi non,%,324.49,640.62,489.21,os,ir
r,vestibulum ante,nulla facilisi,eget massa tempor convallis nulla neque libero,p,ipsum primis in,USD,980.62,789.29,118.39,massa donec dapibus,6.01,928.51,617.66,848.26,neque vestibulum,posuere metus,4.8,p,est risus,mauris non,sed interdum venenatis turpis enim blandit mi,r,dolor morbi vel,m,272.99,225.42,770.99,rp,pr
o,rutrum,posuere cubilia,congue eget semper rutrum nulla,i,dictumst etiam faucibus,kg,479.4,616.42,183.13,eget tempus vel pede,0.37,61.83,124.62,607.66,sed sagittis,massa quis,9.0,r,aliquam,platea dictumst etiam,lacinia eget tincidunt eget tempus vel pede,i,libero quis orci,kg,619.33,260.94,113.18,or,ii
i,in,tortor eu pede,at turpis donec posuere metus,s,libero nam,USD,472.45,921.63,58.19,convallis nunc proin,7.2,696.21,98.99,163.23,platea dictumst,hac habitasse,2.53,i,rutrum,nunc nisl,ipsum primis in faucibus orci luctus et,s,lacinia sapien quis,kg,577.81,834.07,607.92,ii,ss
p,mauris enim,cras pellentesque volutpat,sed sagittis nam congue risus semper,s,sit amet nulla,%,46.34,636.33,199.85,ullamcorper augue a,6.73,611.29,557.63,503.1,viverra diam,semper est,3.21,o,interdum,erat curabitur,tempor turpis nec euismod scelerisque quam turpis,r,pede libero quis,m,52.47,494.74,435.44,po,sr
o,quam,erat id mauris,augue quam sollicitudin vitae consectetuer eget rutrum,s,odio elementum,%,488.01,720.91,418.45,aliquet pulvinar sed nisl,0.58,11.09,103.46,589.79,ut,eu sapien cursus,6.32,s,pede justo,in libero,rhoncus mauris enim leo rhoncus sed vestibulum,o,potenti in,kg,109.64,176.6,998.01,os,so
s,in hac,pulvinar nulla,primis in faucibus orci luctus et,r,felis ut at,%,425.24,137.29,302.06,in faucibus orci luctus,7.25,871.87,126.13,719.43,fermentum,lacinia nisi,1.26,p,morbi,est risus,in faucibus orci luctus et ultrices posuere,i,curae nulla,USD,164.36,566.03,514.51,sp,ri
o,sit,natoque penatibus et,donec odio justo sollicitudin ut suscipit,i,feugiat non,m,943.11,334.71,642.09,velit id pretium iaculis,4.86,720.46,526.81,604.47,egestas metus,faucibus orci luctus,8.33,i,sed,proin risus praesent,ut erat curabitur gravida nisi at nibh,s,sit amet,USD,538.12,765.32,489.72,oi,is
i,etiam justo,nunc commodo,semper est quam pharetra magna,p,eget congue eget,USD,154.92,773.72,590.44,morbi vel lectus in,0.93,801.41,700.85,692.14,fringilla,fusce consequat nulla nisl,0.96,o,nibh in,diam neque vestibulum,rutrum nulla tellus in sagittis dui vel,s,aliquet ultrices,kg,868.26,291.05,862.37,io,ps
r,non velit,sed nisl nunc,platea dictumst etiam faucibus cursus urna,r,dictumst morbi,USD,50.15,680.52,725.26,congue diam id,1.06,70.91,935.28,172.03,augue,aliquam quis,3.73,r,vel,nulla integer pede,vel pede morbi porttitor lorem id ligula,p,in tempor turpis,m,175.8,67.4,283.01,rr,rp
i,nulla,vivamus tortor duis,dictumst maecenas ut massa quis,r,consequat dui,kg,201.72,240.77,161.43,tortor eu pede,4.11,485.21,87.15,464.86,pretium,justo nec condimentum,6.7,o,arcu,nulla elit ac,morbi sem mauris laoreet ut rhoncus aliquet,r,et magnis dis,USD,80.22,892.95,610.22,io,rr
